patent,country,url,date_submitted,date_issued,title,wikidata,inventor,assignee,cpc,collections
US1053887,US,https://patents.google.com/patent/US1053887A/en,1912-03-04,1913-02-18,Process for Photographing Objects with Projected Backgrounds,http://www.wikidata.org/entity/Q73422798,Hugo Sontag,,G03B15/06,HinelineProcess; WestheimerF8
US1059296,US,https://patents.google.com/patent/US1059296A/en,1909-04-21,1913-04-15,Photographic-printing Machine,http://www.wikidata.org/entity/Q73429375,David Horsley,,G03B27/08,WestheimerF8
US1066766,US,https://patents.google.com/patent/US1066766A/en,1913-01-22,1913-07-08,Process and Apparatus for Making Composite-picture Slides and the Like,http://www.wikidata.org/entity/Q73422800,Alexander S. Spiegel,Robert Glendinning; Alexander S. Spiegel,G03B15/08,WestheimerF14
US1069221,US,https://patents.google.com/patent/US1069221A/en,1912-02-26,1913-08-05,Method of Obtaining Synchronism Between A Kinematographic Performance and An Acoustic Accompaniment Thereof,http://www.wikidata.org/entity/Q73422806,Jakob Beck,,G03B15/08,WestheimerF8
US1074943,US,https://patents.google.com/patent/US1074943A/en,1911-03-14,1913-10-07,Automatic Clutch Running Kinematographs and Phonographs Synchronously,http://www.wikidata.org/entity/Q73429380,Léon Gaumont,Etablissements Gaumont,G03B31/00,WestheimerF8
US1080692,US,https://patents.google.com/patent/US1080692A/en,1913-03-12,1913-12-09,Shiftable Screen for Moving Pictures,http://www.wikidata.org/entity/Q73422810,Frederick W. Hochstetter,H. P. Patents and Processes Company Inc,G03B21/562,WestheimerF8
US1092545,US,https://patents.google.com/patent/US1092545A/en,1912-05-31,1914-04-07,Process of Printing from Photographic Negatives,http://www.wikidata.org/entity/Q73422830,John H. Snapp,,G03F1/00,WestheimerF8
US1099207,US,https://patents.google.com/patent/US1099207A/en,1910-01-19,1914-06-09,Device for Combining Motion Acts and Moving Pictures,http://www.wikidata.org/entity/Q73422837,Jacob Saudek,,A63J5/021,WestheimerF8
US1102595,US,https://patents.google.com/patent/US1102595A/en,1913-04-14,1914-07-07,Composite Dramatic Production,http://www.wikidata.org/entity/Q73422841,Herbert Knight,,A63J5/021,WestheimerF8
US1102903,US,https://patents.google.com/patent/US1102903A/en,1913-06-26,1914-07-07,Process for the Production of Photomechanical-printing Surfaces,http://www.wikidata.org/entity/Q73422846,Edward Henry Gamble,,G03B27/735; G03F7/70291,WestheimerF8
US1103057,US,https://patents.google.com/patent/US1103057A/en,1911-12-13,1914-07-14,Arrangement for Making Living Pictures,http://www.wikidata.org/entity/Q73422851,Stanislaus Kucharski,,B41J2/16585; H04N5/225,WestheimerF8
US1103485,US,https://patents.google.com/patent/US1103485A/en,1913-04-21,1914-07-14,Illusion Apparatus,http://www.wikidata.org/entity/Q73422869,Nelson H. Clarke,,G03B15/06,WestheimerF8
US1104846,US,https://patents.google.com/patent/US1104846A/en,1913-12-08,1914-07-28,Apparatus for Producing Stage Effects,http://www.wikidata.org/entity/Q73429403,Howard Thurston,,A63J5/021,WestheimerF8
US1105895,US,https://patents.google.com/patent/US1105895A/en,1913-07-17,1914-08-04,Optical Square,http://www.wikidata.org/entity/Q73429405,Otto Eppenstein,Carl Zeiss,G02B5/04,WestheimerF8
US1107193,US,https://patents.google.com/patent/US1107193A/en,1914-01-09,1914-08-11,Process of and Articles for Producing Moving Pictures,http://www.wikidata.org/entity/Q73429409,John Randolph Bray,,G03B15/08; H03M1/00,WestheimerF8
US1110665,US,https://patents.google.com/patent/US1110665A/en,1911-03-30,1914-09-15,Illusion Apparatus for Theatrical and Amusement Purposes,http://www.wikidata.org/entity/Q73422876,Timothy R. Barrett,,A63J19/00,WestheimerF14
US1117159,US,https://patents.google.com/patent/US1117159A/en,1912-11-12,1914-11-17,Attachment for Cameras,http://www.wikidata.org/entity/Q73422882,Jacques A. Berst,,G03B17/24,WestheimerF8
US1124665,US,https://patents.google.com/patent/US1124665A/en,1914-10-05,1915-01-12,Apparatus for Showing Pictures in Relief,http://www.wikidata.org/entity/Q73422885,Charles E. R. Schneider,,G03B21/00,WestheimerF8
US1130645,US,https://patents.google.com/patent/US1130645A/en,1913-11-22,1915-03-02,Method of Coloring Films,http://www.wikidata.org/entity/Q73422898,Percival E. Stow,Harry Martin Valentine Sharp; Henry Vassar Lawley; Percival E. Stow,H05K3/1233,WestheimerF8
US1132070,US,https://patents.google.com/patent/US1132070A/en,1914-08-19,1915-03-16,Camera,http://www.wikidata.org/entity/Q73585418,Lewis L. Clarke,,G03B2217/243,WestheimerF8
US1133311,US,https://patents.google.com/patent/US1133311A/en,1914-12-11,1915-03-30,Composite-Picture Machine,http://www.wikidata.org/entity/Q73422911,William Wallace Newcomb,Mccall Company,A47F7/021,HinelineProcess; WestheimerF8
US1136170,US,https://patents.google.com/patent/US1136170A/en,1914-07-07,1915-04-20,Method of Producing A Fashion-garment Illustration,http://www.wikidata.org/entity/Q73422915,Isaac H. Rubin,,G03B15/06,WestheimerF8
US1143522,US,https://patents.google.com/patent/US1143522A/en,1914-10-31,1915-06-15,Method of and Apparatus for Making Motion-picture Films,http://www.wikidata.org/entity/Q73422919,Frank M. Faber,,G03B15/08,WestheimerF8
US1143542,US,https://patents.google.com/patent/US1143542A/en,1914-12-19,1915-06-15,Process of and Apparatus for Producing Moving Pictures,http://www.wikidata.org/entity/Q73429430,Earl Hurd,,H03M1/00; G03B15/08,WestheimerF8
US1143621,US,https://patents.google.com/patent/US1143621A/en,1914-04-09,1915-06-22,Licorice-root-fiber Board,http://www.wikidata.org/entity/Q73422928,William L. Geddes,Macandrews & Forbes Comp,D21C3/02,WestheimerF8
US1150374,US,https://patents.google.com/patent/US1150374A/en,1915-01-16,1915-08-17,Changeable Picture and Method of Making the Same,http://www.wikidata.org/entity/Q73422936,Clarence W. Kanolt,,G02B3/0012,WestheimerF8
US1150869,US,https://patents.google.com/patent/US1150869A/en,1914-12-11,1915-08-24,Theatrical Appliance,http://www.wikidata.org/entity/Q73422033,Moritz Lewin,Henry Waterson,G09F11/23,WestheimerF8
US1156896,US,https://patents.google.com/patent/US1156896A/en,1915-02-17,1915-10-19,Method of and Apparatus for Producing and Exhibiting Composite Pictures,http://www.wikidata.org/entity/Q73422944,John E. Garrette,James M. Wagner; Adolph Fuerhammer; John E. Garette,G03B21/32,HinelineProcess; WestheimerF8; WestheimerF14
US1159130,US,https://patents.google.com/patent/US1159130A/en,1915-02-06,1915-11-02,Motion-picture Film,http://www.wikidata.org/entity/Q73585421,Julien Tessier,Lubin Mfg Company,G03D15/043; Y10T428/31797,WestheimerF8
