patent,country,url,date_submitted,date_issued,title,wikidata,inventor,assignee,cpc,collections
US1159740,US,https://patents.google.com/patent/US1159740A/en,1914-07-29,1915-11-09,Method of and Articles for Producing Moving Pictures,http://www.wikidata.org/entity/Q73429448,John Randolph Bray,,H03M1/00; G03B15/08,WestheimerF8
US1161556,US,https://patents.google.com/patent/US1161556A/en,1907-05-16,1915-11-23,Photomicrographic Camera,http://www.wikidata.org/entity/Q73422954,Robert L. Watkins,,G02B21/0096,WestheimerF8
US1164252,US,https://patents.google.com/patent/US1164252A/en,1915-03-24,1915-12-14,Method of Making Reel-pictures in Motion Photography,http://www.wikidata.org/entity/Q73422963,Charles A. Birch-Field,,G03B15/08,WestheimerF8
US1169376,US,https://patents.google.com/patent/US1169376A/en,1914-11-20,1916-01-25,Motion-picture Apparatus,http://www.wikidata.org/entity/Q73422973,Sydney B. Austin,Ad Display Machine Corp,G03B15/08,WestheimerF8
US1173521,US,https://patents.google.com/patent/US1173521A/en,1915-10-18,1916-02-29,Method of Producing Motion-pictures,http://www.wikidata.org/entity/Q73585423,T. Hayes Hunter,,G03B21/32,WestheimerF8
US1174144,US,https://patents.google.com/patent/US1174144A/en,1912-06-21,1916-03-07,Process of Making Color Photographic Transparencies,http://www.wikidata.org/entity/Q73422979,Arturo Hernandez-Mejia,,G03F7/70466,WestheimerF8
US1175281,US,https://patents.google.com/patent/US1175281A/en,1915-06-12,1916-03-14,Process of Producing Motion-picture Illusion,http://www.wikidata.org/entity/Q73429457,Charles R. Macauley,,G03B15/08,WestheimerF8
US1177697,US,https://patents.google.com/patent/US1177697A/en,1909-02-17,1916-04-04,"Developing, Fixing, Toning, and Otherwise Treating Photographic Films and Prints",http://www.wikidata.org/entity/Q73429461,Léon Gaumont,,G03D13/006,
US1179068,US,https://patents.google.com/patent/US1179068A/en,1915-07-30,1916-04-11,Process of and Apparatus for Producing Moving Pictures,http://www.wikidata.org/entity/Q73585425,John Randolph Bray,,G03B15/08,WestheimerF8
US1180682,US,https://patents.google.com/patent/US1180682A/en,1915-04-19,1916-04-25,Photographic Device,http://www.wikidata.org/entity/Q73422982,Jay Otis Wheelock,,G03B15/06,WestheimerF8
US1186292,US,https://patents.google.com/patent/US1186292A/en,1914-09-04,1916-06-06,Method of Producing Stage Effects,http://www.wikidata.org/entity/Q73422996,Charles F. De Soria,,A63J5/021,WestheimerF8
US1186451,US,https://patents.google.com/patent/US1186451A/en,1915-02-27,1916-06-06,Stage Effect,http://www.wikidata.org/entity/Q73585427,Frank D. Thomas,,A63J5/02,WestheimerF8
US1187137,US,https://patents.google.com/patent/US1187137A/en,1914-08-07,1916-06-13,Production of Motion-picture Films,http://www.wikidata.org/entity/Q73423006,Adolph F. Gall,New Jersey Patent Co,G03B27/735; G03F7/70291,WestheimerF8
US1187270,US,https://patents.google.com/patent/US1187270A/en,1915-07-29,1916-06-13,Motion-Picture Apparatus,http://www.wikidata.org/entity/Q73423011,Henry Csanyi,,G03B21/20; G03B21/32,
US1189799,US,https://patents.google.com/patent/US1189799A/en,1915-10-05,1916-07-04,Motion-picture Theater,http://www.wikidata.org/entity/Q73423014,Philip Morris Erickson,,E04H3/10,WestheimerF8
US1191941,US,https://patents.google.com/patent/US1191941A/en,1913-02-11,1916-07-25,Color Photography,http://www.wikidata.org/entity/Q73423025,Percy Douglas Brewster,,G03C7/26,WestheimerF8
US1195947,US,https://patents.google.com/patent/US1195947A/en,1901-07-08,1916-08-22,Focusing Camera,http://www.wikidata.org/entity/Q73423029,Joseph Becker,,G03B3/00,WestheimerF8
US1197732,US,https://patents.google.com/patent/US1197732A/en,1912-05-22,1916-09-12,Motion-picture-printing Mechanism,http://www.wikidata.org/entity/Q73423033,Adolph F. Gall,New Jersey Patent Co,G03F7/70566,WestheimerF8
US1198598,US,https://patents.google.com/patent/US1198598A/en,1916-01-08,1916-09-19,Process of and Means for Producing Moving Pictures,http://www.wikidata.org/entity/Q73423037,Charles L. Sudmann,Acorn Movie Cartoon Comp,G03B15/08,WestheimerF8
US1198599,US,https://patents.google.com/patent/US1198599A/en,1916-05-01,1916-09-19,Process of Producing Moving Pictures from Plastic Materials,http://www.wikidata.org/entity/Q73423039,Charles L. Sudmann; Willie D. Hopkins,Acorn Movie Cartoon Comp,G03B15/08,WestheimerF8
US1198600,US,https://patents.google.com/patent/US1198600A/en,1916-05-29,1916-09-19,Process of and Means for Photographing Films,http://www.wikidata.org/entity/Q73423047,Charles L. Sudmann,Acorn Movie Cartoon Comp,H04N1/00132; G03D15/005,WestheimerF8
US1199307,US,https://patents.google.com/patent/US1199307A/en,1913-01-31,1916-09-26,Apparatus for Photographic Portraiture,http://www.wikidata.org/entity/Q73423056,Allan D. Risley,,G03B17/565,WestheimerF14
US1204098,US,https://patents.google.com/patent/US1204098A/en,1913-11-14,1916-11-07,Photographic Duplicating and Enlarging Apparatus,http://www.wikidata.org/entity/Q73429509,George R. Watson,,H04N1/00132; G03D15/005,WestheimerF9
US1205632,US,https://patents.google.com/patent/US1205632A/en,1914-10-23,1916-11-21,Photographic Printing Machine,http://www.wikidata.org/entity/Q73585429,Lodewyck J. R. Holst,,G03B27/08,
US1211200,US,https://patents.google.com/patent/US1211200A/en,1914-04-10,1917-01-02,Cinematograph and the Like Effect,http://www.wikidata.org/entity/Q73429513,Langdon McCormick,,G03B15/06,WestheimerF9
US1216695,US,https://patents.google.com/patent/US1216695A/en,1915-02-02,1917-02-20,Method of Taking Moving Pictures,http://www.wikidata.org/entity/Q73423066,Robert John,,G03B15/08; H03M1/00,WestheimerF9
US1223686,US,https://patents.google.com/patent/US1223686A/en,1915-05-14,1917-04-24,Device for Recording the Readings of Meters,http://www.wikidata.org/entity/Q73429519,Albert Frisch,A. Frisch & Co,G03B2217/243,WestheimerF9
US1226135,US,https://patents.google.com/patent/US1226135A/en,1916-05-26,1917-05-15,Process of Making Motion Picture Films,http://www.wikidata.org/entity/Q73423070,Reginald V. Stambaugh,Artfilm Studios,G03B35/00,HinelineProcess; WestheimerF9
US1226883,US,https://patents.google.com/patent/US1226883A/en,1912-05-17,1917-05-22,Combined Phonograph and Moving-picture Apparatus,http://www.wikidata.org/entity/Q73423073,Daniel Higham,,G03B31/00,WestheimerF9
US1227075,US,https://patents.google.com/patent/US1227075A/en,1915-04-29,1917-05-22,Apparatus for and Method of Taking Trick and Advertising Moving Pictures,http://www.wikidata.org/entity/Q73423079,Carl B. Rowntree,,G03B15/08,WestheimerF9
US1227623,US,https://patents.google.com/patent/US1227623A/en,1915-06-05,1917-05-29,Automatic Light-controlled Film-printing Apparatus,http://www.wikidata.org/entity/Q73429527,David Horsley,,G03B27/08,WestheimerF9
US1228722,US,https://patents.google.com/patent/US1228722A/en,1914-10-06,1917-06-05,Photographic Apparatus,http://www.wikidata.org/entity/Q73585432,William Verbeck,Katherine J. Verbeck,G03B15/08,WestheimerF9
US1230188,US,https://patents.google.com/patent/US1230188A/en,1915-09-20,1917-06-19,Method of and Apparatus for Displaying Pictures,http://www.wikidata.org/entity/Q73429530,Langdon McCormick,,G03B37/00,WestheimerF9
US1230878,US,https://patents.google.com/patent/US1230878A/en,1916-08-18,1917-06-26,Apparatus for Illuminated Displays,http://www.wikidata.org/entity/Q73423090,Horace Dumars,,G03B21/06,WestheimerF9
US1232359,US,https://patents.google.com/patent/US1232359A/en,1914-03-31,1917-07-03,Method of Producing Motion-picture Films,http://www.wikidata.org/entity/Q73423097,Lee Miller,,G03B15/08,WestheimerF9
US1232504,US,https://patents.google.com/patent/US1232504A/en,1915-10-22,1917-07-10,"Art of Forming, and Transparency for Producing, Colored Projected Images",http://www.wikidata.org/entity/Q73423105,Daniel F. Comstock,Technicolor Motion Picture Corp,G03B21/32,WestheimerF9
US1235871,US,https://patents.google.com/patent/US1235871A/en,1915-10-28,1917-08-07,Method of Making Cinematographic Cartoon Pictures,http://www.wikidata.org/entity/Q73423115,Carroll M. Aument,,G03B15/08; H03M1/00,HinelineProcess; WestheimerF9
US1236272,US,https://patents.google.com/patent/US1236272A/en,1915-04-14,1917-08-07,Measuring Device,http://www.wikidata.org/entity/Q73423122,Emery E. Costley,,G01G11/003,WestheimerF9
US1240774,US,https://patents.google.com/patent/US1240774A/en,1916-07-19,1917-09-18,Motion-picture and Method of Producing the Same,http://www.wikidata.org/entity/Q73423128,Charles F. Pidgin,Henry A. Johnston; Charles F. Pidgin,G03B15/08,WestheimerF9
US1242674,US,https://patents.google.com/patent/US1242674A/en,1915-12-06,1917-10-09,Method of Producing Moving-picture Cartoons,http://www.wikidata.org/entity/Q73429548,Max Fleischer,,G03B15/08,WestheimerF9
US1245822,US,https://patents.google.com/patent/US1245822A/en,1913-06-07,1917-11-06,Method of Making Cinematograph Color-films,http://www.wikidata.org/entity/Q73429552,John Edward Thornton,John Owden O. Brien,G03C7/26; Y10S430/135,WestheimerF9
US1250364,US,https://patents.google.com/patent/US1250364A/en,1916-08-04,1917-12-18,Operating Device for Cinematographs,http://www.wikidata.org/entity/Q73423134,Arthur R. Selden,,G03B19/18; Y10T74/19642,WestheimerF9
US1250412,US,https://patents.google.com/patent/US1250412A/en,1916-05-26,1917-12-18,Method of Producing Motion-pictures,http://www.wikidata.org/entity/Q73423142,Lewis M. Anderson,,G03B15/08; H03M1/00,WestheimerF9
US1255421,US,https://patents.google.com/patent/US1255421A/en,1914-03-06,1918-02-05,Cinematographic Device,http://www.wikidata.org/entity/Q73423148,Frederick W. Hochstetter; Edmund Hugh Pryce,H. P. Patents and Processes Company Inc,G03B33/08,WestheimerF9
US1256147,US,https://patents.google.com/patent/US1256147A/en,1916-12-12,1918-02-12,Moving-picture Apparatus,http://www.wikidata.org/entity/Q73585435,Langdon McCormick,,A63J5/021,WestheimerF9
US1259711,US,https://patents.google.com/patent/US1259711A/en,1915-12-07,1918-03-19,Apparatus for Correcting Distortion in Moving Pictures and Similar Projections,http://www.wikidata.org/entity/Q73423161,Harvey Allison,Commercial Res Comp,H04N9/3185,WestheimerF9
US1260221,US,https://patents.google.com/patent/US1260221A/en,1915-09-20,1918-03-19,Method Or Art of Displaying Pictures,http://www.wikidata.org/entity/Q73429571,Langdon McCormick,,G03B21/32,WestheimerF9
US1260393,US,https://patents.google.com/patent/US1260393A/en,1916-10-09,1918-03-26,Apparatus for Producing Animated Drawings,http://www.wikidata.org/entity/Q73423166,Eliot Keen,William P. Dunham,G03B15/08,WestheimerF9
US1260682,US,https://patents.google.com/patent/US1260682A/en,1915-01-16,1918-03-26,Photographic Method and Apparatus,http://www.wikidata.org/entity/Q73423167,Clarence W. Kanolt,,G03B15/08,WestheimerF14
US1261648,US,https://patents.google.com/patent/US1261648A/en,1915-03-31,1918-04-02,Method of Making Moving Picture Films,http://www.wikidata.org/entity/Q73429575,Paul Terry,,H03M1/00; G03B15/08,HinelineProcess; WestheimerF9
US1262511,US,https://patents.google.com/patent/US1262511A/en,1914-07-30,1918-04-09,Projection-screen Or the Like,http://www.wikidata.org/entity/Q73423174,Thomas Daniel Kelly,,G03B21/10,WestheimerF9
US1262284,US,https://patents.google.com/patent/US1262284A/en,1915-12-21,1918-04-09,Camera-Actuating Means,http://www.wikidata.org/entity/Q73423183,George J. Teague,,F03G1/00,
US1263355,US,https://patents.google.com/patent/US1263355A/en,1915-08-23,1918-04-16,Means for Producing Animated Shadowgraphs,http://www.wikidata.org/entity/Q73429591,Pierre Artiguet,,G03B15/06,HinelineProcess; WestheimerF9
US1267844,US,https://patents.google.com/patent/US1267844A/en,1915-04-22,1918-05-28,Apparatus for Printing Cinematographic Films,http://www.wikidata.org/entity/Q73423186,Percy Douglas Brewster,,G03G15/234,WestheimerF9
US1268010,US,https://patents.google.com/patent/US1268010A/en,1917-04-02,1918-05-28,Optical-illusion Device,http://www.wikidata.org/entity/Q73423194,Owen Hudgen,,A63J21/00; Y10S40/90,WestheimerF9
US1269061,US,https://patents.google.com/patent/US1269061A/en,1917-06-08,1918-06-11,Cinematographic-Picture Composition,http://www.wikidata.org/entity/Q73429597,Norman Dawn,,G03B15/08,HinelineProcess; WestheimerF9
US1269496,US,https://patents.google.com/patent/US1269496A/en,1917-10-24,1918-06-11,Condenser for Projection Apparatus,http://www.wikidata.org/entity/Q73423197,John A. Orange,Gen Electric,G03B21/14; G02B21/08,WestheimerF9
US1270778,US,https://patents.google.com/patent/US1270778A/en,1915-02-03,1918-07-02,Moving-Picture Film and Method of Making,http://www.wikidata.org/entity/Q73423207,Austin D. Brixey,,G03B15/08,HinelineProcess; WestheimerF9
US1273183,US,https://patents.google.com/patent/US1273183A/en,1917-05-26,1918-07-23,Camera,http://www.wikidata.org/entity/Q73585437,James W. Ramsay,,G03B35/10,WestheimerF9
US1273435,US,https://patents.google.com/patent/US1273435A/en,1916-05-22,1918-07-23,Method of Taking Motion Pictures,http://www.wikidata.org/entity/Q73429610,Frank D. Williams,,G03B15/08,HinelineProcess; WestheimerF9
US1273881,US,https://patents.google.com/patent/US1273881A/en,1917-05-31,1918-07-30,Combined Contact and Enlarging Printer,http://www.wikidata.org/entity/Q73423219,Charles A. Lare,,G03B27/32,WestheimerF9
US1275496,US,https://patents.google.com/patent/US1275496A/en,1915-11-10,1918-08-13,Apparatus for Producing Motion-picture Puppet-plays,http://www.wikidata.org/entity/Q73423228,Ridley F. Taylor; Wilkins W. Wheatly,William Horsley,G03B15/08,WestheimerF9
US1275249,US,https://patents.google.com/patent/US1275249A/en,1917-08-27,1918-08-13,Finding and Focusing Means,http://www.wikidata.org/entity/Q73423237,Rudolf F. Hlavaty,,G03B19/18,
US1277468,US,https://patents.google.com/patent/US1277468A/en,1916-09-05,1918-09-03,Rebus Motion-picture Film,http://www.wikidata.org/entity/Q73423246,Albert D. Parfitt,,G03B15/08,WestheimerF9
US1278117,US,https://patents.google.com/patent/US1278117A/en,1914-08-17,1918-09-10,Art of Making Motion-Pictures,http://www.wikidata.org/entity/Q73429638,J. Searle Dawley,,G03B15/08,HinelineProcess; WallSomePatents; WestheimerF9
US1278162,US,https://patents.google.com/patent/US1278162A/en,1917-02-08,1918-09-10,Subtractive and Additive Color Photography,http://www.wikidata.org/entity/Q73423255,William Van Doren Kelley,Prizma Inc,G03C7/28; Y10S430/135,WestheimerF9
US1279099,US,https://patents.google.com/patent/US1279099A/en,1915-04-20,1918-09-17,Manufacture of Motion Picture Films,http://www.wikidata.org/entity/Q73429643,Charles Allan Gilbert,,H03M1/00; G03B15/08,HinelineProcess; WestheimerF9
US1280735,US,https://patents.google.com/patent/US1280735A/en,1911-06-05,1918-10-08,Method of Making Films for Motion-Pictures,http://www.wikidata.org/entity/Q73423262,William Horsley; David Horsley,,G03B15/08,WestheimerF9
US1281720,US,https://patents.google.com/patent/US1281720A/en,1918-04-25,1918-10-15,Production of Scenic Effects,http://www.wikidata.org/entity/Q73429649,Richard Walton Tully,,A63J5/028,WestheimerF9
US1282829,US,https://patents.google.com/patent/US1282829A/en,1917-10-11,1918-10-29,Process of Making Photographic Stereoscopic Transparencies,http://www.wikidata.org/entity/Q73423265,Arturo Hernandez-Mejia,,G03F7/70633; Y10S430/153,WestheimerF9
US1285524,US,https://patents.google.com/patent/US1285524A/en,1917-11-08,1918-11-19,Tank for the Production of Undersea Photographic Effects,http://www.wikidata.org/entity/Q73423269,Frank Douglass Williams,,G03B15/06,WestheimerF14
US1285753,US,https://patents.google.com/patent/US1285753A/en,1914-10-16,1918-11-26,Changeable-picture Device,http://www.wikidata.org/entity/Q73423276,Harry F. Loewenstein,,G03B15/08,WestheimerF9
US1285857,US,https://patents.google.com/patent/US1285857A/en,1916-07-17,1918-11-26,Motion-picture Apparatus,http://www.wikidata.org/entity/Q73585438,Luke T. Welch,John G. Mammoser; Luke T. Welch,G03B15/08,WestheimerF9
US1286383,US,https://patents.google.com/patent/US1286383A/en,1914-03-25,1918-12-03,Method of Exhibiting the Movements of Orchestra Conductors,http://www.wikidata.org/entity/Q73429668,Oskar Messter,,G03B21/32,WestheimerF9
US1288145,US,https://patents.google.com/patent/US1288145A/en,1917-03-17,1918-12-17,Apparatus for Simulating Moving Pictures,http://www.wikidata.org/entity/Q73423293,Carl E. Noville,Kayanen Company Inc,G03B15/08,WestheimerF9
US1288894,US,https://patents.google.com/patent/US1288894A/en,1914-08-20,1918-12-24,Moving-picture Camera and Vision-picture Attachment,http://www.wikidata.org/entity/Q73429678,David Horsley,,G03B2217/241,WestheimerF9
US1292149,US,https://patents.google.com/patent/US1292149A/en,1916-05-22,1919-01-21,Means for Producing Animated Cartoons,http://www.wikidata.org/entity/Q73423296,George J. Teague,,G03B15/08; Y10T74/19879,WestheimerF9
US1294249,US,https://patents.google.com/patent/US1294249A/en,1918-04-19,1919-02-11,Method of and Apparatus for Producing Motion-picture Titles,http://www.wikidata.org/entity/Q73423303,Clarence E. Eckels,,G03B15/08,WestheimerF9
US1294686,US,https://patents.google.com/patent/US1294686A/en,1917-04-02,1919-02-18,Method of Making Photographs,http://www.wikidata.org/entity/Q73429682,Langdon McCormick,,G03B35/00,WestheimerF9
US1295028,US,https://patents.google.com/patent/US1295028A/en,1918-04-30,1919-02-18,Cinematographic Film Coloring Machine,http://www.wikidata.org/entity/Q73429686,Max B. Handschiegl,,B41F1/26,
US1295374,US,https://patents.google.com/patent/US1295374A/en,1917-12-17,1919-02-25,Art of Producing Theatrical Effects,http://www.wikidata.org/entity/Q73423311,Frederick C. Rockwell; Wilbur M. Davis,,G03B15/08,WestheimerF9
US1296471,US,https://patents.google.com/patent/US1296471A/en,1915-01-18,1919-03-04,Method of making motion-pictures,http://www.wikidata.org/entity/Q29421893,Lura Sophia Brainerd,,H03M1/00; G03B15/08,PatentPool; HinelineProcess; WestheimerF9
US1301538,US,https://patents.google.com/patent/US1301538A/en,1915-03-03,1919-04-22,Apparatus for Making Motion-Pictures,http://www.wikidata.org/entity/Q73429698,Lura Sophia Brainerd,,G03B15/08,PatentPool; HinelineProcess; WestheimerF9
US1303837,US,https://patents.google.com/patent/US1303837A/en,1916-11-20,1919-05-13,Machine for and Art of Coloring Cinematographic Films,http://www.wikidata.org/entity/Q73429701,Alvin Wyckoff; Max Handschiegl,,G03C7/25; Y10S430/135,
US1303836,US,https://patents.google.com/patent/US1303836A/en,1916-11-20,1919-05-13,Art of Coloring Cinematographic Films,http://www.wikidata.org/entity/Q73429705,Alvin Wyckoff; Max Handschiegl,,G03C7/25; Y10S430/135,
US1304649,US,https://patents.google.com/patent/US1304649A/en,1918-01-05,1919-05-27,Stage-scenery,http://www.wikidata.org/entity/Q73423323,Jutta Bell-Ranske,,A63J1/02,WestheimerF9
US1307846,US,https://patents.google.com/patent/US1307846A/en,1915-06-09,1919-06-24,Method of Producing Moving Pictures,http://www.wikidata.org/entity/Q73429714,Lura Sophia Brainerd,,G03B15/08,PatentPool; HinelineProcess; WestheimerF9
US1311008,US,https://patents.google.com/patent/US1311008A/en,1916-01-29,1919-07-22,Stereoscopic Motion-Picture Camera,http://www.wikidata.org/entity/Q73423329,Howard L. Quick,,G03B35/00,WestheimerF9
US1313587,US,https://patents.google.com/patent/US1313587A/en,1916-12-05,1919-08-19,Cinematography,http://www.wikidata.org/entity/Q73423334,Leon F. Douglass,,G03B33/00,WestheimerF9
US1316791,US,https://patents.google.com/patent/US1316791A/en,1918-04-09,1919-09-23,Process of Producing Colored Moving Picture Films,http://www.wikidata.org/entity/Q73429724,Max B. Handschiegl,,G03C7/25,WestheimerF9
US1317725,US,https://patents.google.com/patent/US1317725A/en,1919-01-28,1919-10-07,Means for Showing Speech in Motion-Pictures,http://www.wikidata.org/entity/Q73423339,Charles F. Pidgin,,G03B15/08,WestheimerF9
US1317825,US,https://patents.google.com/patent/US1317825A/en,1917-07-02,1919-10-07,Method of Producing Colored Motion-Picture Films,http://www.wikidata.org/entity/Q73423347,Addison T. Saunders,,G03B15/08,WestheimerF9
US1320760,US,https://patents.google.com/patent/US1320760A/en,1918-05-27,1919-11-04,Motion Picture in Colors,http://www.wikidata.org/entity/Q73429731,Frederic Eugene Ives,,G03B33/00,WestheimerF9
US1324235,US,https://patents.google.com/patent/US1324235A/en,1915-11-12,1919-12-09,Moving-Picture Film,http://www.wikidata.org/entity/Q73423354,Trimble De Roode,,G03B15/08,WestheimerF9
US1324887,US,https://patents.google.com/patent/US1324887A/en,1918-09-20,1919-12-16,Apparatus for Making Identifying Photographs,http://www.wikidata.org/entity/Q73423363,William F. Folmer,Eastman Kodak Comp,G03B2217/243,WestheimerF9
US1325198,US,https://patents.google.com/patent/US1325198A/en,1916-07-17,1919-12-16,Apparatus for Printing and Producing Moving Pictures,http://www.wikidata.org/entity/Q73423365,Frederick W. Hochstetter,,G03F7/70566,WestheimerF9
US1328266,US,https://patents.google.com/patent/US1328266A/en,1919-07-19,1920-01-20,Apparatus and Process for Producing Motion-pictures,http://www.wikidata.org/entity/Q73423373,Harold Gloy Christensen,,G03C5/12,WestheimerF9
US1332085,US,https://patents.google.com/patent/US1332085A/en,1919-10-18,1920-02-24,Stage Apparatus,http://www.wikidata.org/entity/Q73423383,Conrad Joseph Tritschler,,F21S2/00,WestheimerF9
US1347993,US,https://patents.google.com/patent/US1347993A/en,1920-07-27,1920-02-26,Articulated Effigy,http://www.wikidata.org/entity/Q73429751,Herbert M. Dawley,,G09B23/36,
US1334655,US,https://patents.google.com/patent/US1334655A/en,1919-09-09,1920-03-23,Film Polishing Machine,http://www.wikidata.org/entity/Q73429754,Max B. Handschiegl,,G03D15/00,
US1339279,US,https://patents.google.com/patent/US1339279A/en,1919-08-11,1920-05-04,Stage Illusion Effect,http://www.wikidata.org/entity/Q73423393,Ferdinand J. Oebbecke,,E04H3/22; F21S2/00,WestheimerF9
US1346234,US,https://patents.google.com/patent/US1346234A/en,1917-09-15,1920-07-13,Multicolored Apparatus,http://www.wikidata.org/entity/Q73423399,Henry N. Miller,,G02B27/1013; G02B27/144,WestheimerF9
DE323939,DE,https://depatisnet.dpma.de/DepatisNet/depatisnet?action=bibdat&docid=DE000000323939A,1918-11-16,1920-08-12,Verfahren zur Aufnahme beweglicher Lichtbilder,http://www.wikidata.org/entity/Q73423408,Joseph Behrens,,,
US1351508,US,https://patents.google.com/patent/US1351508A/en,1917-11-27,1920-08-31,Method of Producing Stereoscopic Effects in Motion-pictures,http://www.wikidata.org/entity/Q73423413,Raymond A. Duhem; John D. Grant,,G03B35/00,WestheimerF10
US1353703,US,https://patents.google.com/patent/US1353703A/en,1920-06-07,1920-09-21,Toy,http://www.wikidata.org/entity/Q73423424,Fay Leon Babcock,,A63H33/3083,WestheimerF10
US1355648,US,https://patents.google.com/patent/US1355648A/en,1917-11-07,1920-10-12,Process for Making Combined Real Life and Animated Cartoon Motion Pictures,http://www.wikidata.org/entity/Q73423435,Leslie Elton Brownley,,G03B15/08,HinelineProcess; WallSomePatents; WestheimerF10
US1356223,US,https://patents.google.com/patent/US1356223A/en,1918-10-14,1920-10-19,Film for Cinematographs and the Like,http://www.wikidata.org/entity/Q73429775,Lyddell Sawyer,,G03B15/08,WestheimerF10
US1356442,US,https://patents.google.com/patent/US1356442A/en,1916-08-01,1920-10-19,Art-work and Method of Producing the Same,http://www.wikidata.org/entity/Q73423441,Frank E. Garbutt,,G03C5/12; G03C5/08; G03C9/00,WestheimerF10
US1358110,US,https://patents.google.com/patent/US1358110A/en,1919-04-07,1920-11-09,Cinematographic Process,http://www.wikidata.org/entity/Q73423451,Giuseppe de Liguoro Presicce,,G03B15/10,WallSomePatents; WestheimerF10
US1358685,US,https://patents.google.com/patent/US1358685A/en,1916-10-21,1920-11-09,Means for Viewing Pictures in Relief,http://www.wikidata.org/entity/Q73423454,William L. Friedman,,G03B21/606,WestheimerF10
US1359025,US,https://patents.google.com/patent/US1359025A/en,1918-06-29,1920-11-16,Apparatus for Color Cinematography,http://www.wikidata.org/entity/Q73423461,Percy Douglas Brewster,,G03B33/00,WestheimerF10
US1359245,US,https://patents.google.com/patent/US1359245A/en,1912-03-29,1920-11-16,Photographic Apparatus,http://www.wikidata.org/entity/Q73585440,Henry J. Gaisman,Eastman Kodak Comp,G03B17/24; G03B2217/243,WestheimerF10
USRE14996E,US,https://patents.google.com/patent/USRE14996E/en,1916-01-04,1920-11-30,Method of and Apparatus for Making Motion-picture Films,http://www.wikidata.org/entity/Q73585442,Frank M. Faber,,G03B35/00,WestheimerF13
US1361012,US,https://patents.google.com/patent/US1361012A/en,1920-04-12,1920-12-07,Projection-Printer,http://www.wikidata.org/entity/Q73429794,John G. Capstaff,Eastman Kodak Comp,G03B27/475,WestheimerF10
US1367487,US,https://patents.google.com/patent/US1367487A/en,1916-03-10,1921-02-01,Optical Apparatus and Method of Using the Same,http://www.wikidata.org/entity/Q73423484,Edmond H. Lysle,,G03B41/04,WestheimerF10
US1368880,US,https://patents.google.com/patent/US1368880A/en,1917-11-21,1921-02-15,Portrait Photography,http://www.wikidata.org/entity/Q73429804,Gianni Bettini,,G03B19/06,WestheimerF10
US1372811,US,https://patents.google.com/patent/US1372811A/en,1918-12-23,1921-03-29,Method of Making Pictures,http://www.wikidata.org/entity/Q73423491,Walter L. Hall,,G03C5/06,HinelineProcess; WallSomePatents; WestheimerF10
US1372936,US,https://patents.google.com/patent/US1372936A/en,1921-02-17,1921-03-29,Photography,http://www.wikidata.org/entity/Q73423499,Edwin W. Clark,,G03B19/18,WestheimerF10
US1372969,US,https://patents.google.com/patent/US1372969A/en,1920-04-27,1921-03-29,Illusionary Apparatus for Theaters,http://www.wikidata.org/entity/Q73429813,Langdon McCormick,,F21S2/00,WestheimerF10
US1373020,US,https://patents.google.com/patent/US1373020A/en,1918-09-03,1921-03-29,Method and Apparatus for Making Color-correcting and Color-separation Negatives for Plate-printing Trades,http://www.wikidata.org/entity/Q73423507,Emil A. Raschke,,G03F3/101; Y10S430/152; Y10S430/153,WestheimerF10
US1375918,US,https://patents.google.com/patent/US1375918A/en,1918-06-03,1921-04-26,Method of Making Animated-Cartoon Motion-Picture Films,http://www.wikidata.org/entity/Q73423514,Carl F. Lederer,G. Willard Rich,G03B15/08,HinelineProcess; WestheimerF10
US1380298,US,https://patents.google.com/patent/US1380298A/en,1919-10-30,1921-05-31,Process of and Apparatus for Producing Moving-picture Films,http://www.wikidata.org/entity/Q73429822,Earl Hurd,,G03B15/08,WestheimerF10
US1383538,US,https://patents.google.com/patent/US1383538A/en,1920-02-21,1921-07-05,Stereoscopic Projecting Apparatus,http://www.wikidata.org/entity/Q73423520,Herbert Dickinson; George Anderso William Hepburn,,G03B21/60,WestheimerF10
US1385912,US,https://patents.google.com/patent/US1385912A/en,1920-07-24,1921-07-26,Method and Apparatus for Using Dissimilar Films,http://www.wikidata.org/entity/Q73429838,Léon Gaumont,,G03B15/08,WestheimerF10
US1390861,US,https://patents.google.com/patent/US1390861A/en,1916-07-07,1921-09-13,Production of Animated Pictures,http://www.wikidata.org/entity/Q73429844,Thomas Armat,,G03D15/00,WestheimerF10
GB169233,GB,https://worldwide.espacenet.com/publicationDetails/biblio?II=0&ND=3&adjacent=true&locale=en_EP&FT=D&date=19210916&CC=GB&NR=169233A&KC=A,1920-06-16,1921-09-16,A New or Improved Process of Producing Photographic Silhouettes,http://www.wikidata.org/entity/Q73423542,Hans Goetz,,,WallSomePatents
GB147621,GB,https://worldwide.espacenet.com/publicationDetails/biblio?II=0&ND=3&adjacent=true&locale=en_EP&FT=D&date=19211010&CC=GB&NR=147621A&KC=A,1920-07-08,1921-10-10,Improvements in the Production of Photographic Silhouettes and Combination Photographs,http://www.wikidata.org/entity/Q73423544,Hans Goetz,,,
